191,0.002183406113537118,0.12777795328895408,7,13	100114,100002,100002,100224,100007,100035,100071,100088,100002,100110,100179	100088,100007
191,0.002183406113537118,0.07093941103463838,4,8	100002,100002,100002,100007,100010	100012,100021,100168
36,0.14098565190268247,0.06541803001241114,3,5	100022,100023,100056,100012	100007
36,0.14098565190268247,0.0454762495768927,1,4	100023	100004,100027,100073
36,0.14098565190268247,0.0882437098048065,9,20	100012,100056,100056,100007,100011,100056,100056,100007,100013,100056,100056,100021,100056,100001,100110,100109,100007,100010,100001	100056
36,0.14098565190268247,0.010147354169017263,1,4	100004,100027	100004,100027
36,0.14098565190268247,0.02977953288954079,1,4	100073,100004,100027	100007
36,0.14098565190268247,0.04556651246756177,4,6	100031,100007,100035,100012,100056	100056
36,0.14098565190268247,0.05253751551393433,1,2	100037	100139
2,0.0611353711790393,0.07031930497574185,3,5	100034,100007,100013	100011,100034
40,0.002495321272613849,0.07808823197562902,1,2	100034	100012
37,0.08827199001871491,0.16046214600022565,2,6	100045,100004,100015,100012	100011,100036
37,0.08827199001871491,0.15510323818120275,2,3	100011,100032	100007
36,0.14098565190268247,0.024960397156718946,2,5	100004,100027,100073,100023	100011
36,0.14098565190268247,0.03464109218097709,2,3	100053,100012	100056
209,0.5449157829070492,0.13769152657113845,1,7	100021,100073,100069,100044,100013	100007,100010
209,0.5449157829070492,0.12026717815638045,7,18	100007,100114,100088,100044,100021,100032,100057,100026,100003,100046,100045,100015,100039,100211,100021,100086,100269	100125
209,0.5449157829070492,0.1571837978111249,1,5	100025,100043,100044	100146,100007
209,0.5449157829070492,0.0753325059235022,3,5	100007,100031,100007,100021	100031
209,0.5449157829070492,0.09486629809319644,5,10	100007,100044,100017,100026,100028,100034,100116	100011,100026,100051
209,0.5449157829070492,0.1459099627665576,6,11	100011,100044,100007,100030,100007,100010,100035,100021,100023,100035	100013
209,0.5449157829070492,0.1375317612546542,6,12	100017,100007,100026,100044,100030,100011,100022,100013,100026,100051	100146,100114
